,gene_id,gene_name
10565,ENSG00000196230,TUBB
10567,ENSG00000137312,FLOT1
10589,ENSG00000272501,XXbac-BPG299F13.17
10608,ENSG00000204482,LST1
10610,ENSG00000204472,AIF1
10612,ENSG00000204463,BAG6
10637,ENSG00000204392,LSM2
10650,ENSG00000204356,NELFE
10668,ENSG00000204308,RNF5
10678,ENSG00000198502,HLA-DRB5
10680,ENSG00000196735,HLA-DQA1
10681,ENSG00000179344,HLA-DQB1
10684,ENSG00000237541,HLA-DQA2
10686,ENSG00000241106,HLA-DOB
10692,ENSG00000168394,TAP1
10693,ENSG00000242574,HLA-DMB
10695,ENSG00000204257,HLA-DMA
10696,ENSG00000204256,BRD2
10714,ENSG00000231925,TAPBP
10719,ENSG00000112514,CUTA
10726,ENSG00000137288,UQCC2
10734,ENSG00000137309,HMGA1
10744,ENSG00000124562,SNRPC
10746,ENSG00000064995,TAF11
10778,ENSG00000112079,STK38
10779,ENSG00000112081,SRSF3
10780,ENSG00000124762,CDKN1A
10789,ENSG00000226976,COX6A1P2
10790,ENSG00000137193,PIM1
10795,ENSG00000198937,CCDC167
10803,ENSG00000124767,GLO1
10850,ENSG00000112576,CCND3
10862,ENSG00000124659,TBCC
10867,ENSG00000137161,CNPY3
10872,ENSG00000124733,MEA1
10884,ENSG00000112667,DNPH1
10911,ENSG00000180992,MRPL14
10982,ENSG00000112118,MCM3
10996,ENSG00000012660,ELOVL5
11039,ENSG00000112245,PTP4A1
11097,ENSG00000112701,SENP6
11108,ENSG00000118418,HMGN3
11168,ENSG00000135334,AKIRIN2
11180,ENSG00000198833,UBE2J1
11209,ENSG00000123545,NDUFAF4
11223,ENSG00000132424,PNISR
11248,ENSG00000057663,ATG5
11274,ENSG00000080546,SESN1
11289,ENSG00000168438,CDC40
11296,ENSG00000155115,GTF3C6
11308,ENSG00000010810,FYN
11342,ENSG00000189241,TSPYL1
11346,ENSG00000188820,FAM26F
11351,ENSG00000111832,RWDD1
11368,ENSG00000111875,ASF1A
11387,ENSG00000111906,HDDC2
11401,ENSG00000093144,ECHDC1
11436,ENSG00000079950,STX7
11498,ENSG00000118503,TNFAIP3
11511,ENSG00000146386,ABRACL
11516,ENSG00000164442,CITED2
11550,ENSG00000169976,SF3B5
11551,ENSG00000135604,STX11
11593,ENSG00000120265,PCMT1
11617,ENSG00000146476,C6orf211
11650,ENSG00000215712,TMEM242
11665,ENSG00000146425,DYNLT1
11667,ENSG00000092820,EZR
11672,ENSG00000164691,TAGAP
11680,ENSG00000112096,SOD2
11681,ENSG00000146457,WTAP
11683,ENSG00000120438,TCP1
11684,ENSG00000112110,MRPL18
11726,ENSG00000198818,SFT2D1
11727,ENSG00000060762,MPC1
11791,ENSG00000071994,PDCD2
11819,ENSG00000240230,COX19
11853,ENSG00000136213,CHST12
11861,ENSG00000198286,CARD11
11877,ENSG00000157954,WIPI2
11892,ENSG00000122674,CCZ1
11895,ENSG00000106305,AIMP2
11904,ENSG00000136240,KDELR2
11907,ENSG00000136247,ZDHHC4
11938,ENSG00000189043,NDUFA4
11949,ENSG00000122644,ARL4A
11971,ENSG00000136261,BZW2
12025,ENSG00000156928,MALSU1
12027,ENSG00000164548,TRA2A
12038,ENSG00000172115,CYCS
12049,ENSG00000122565,CBX3
12083,ENSG00000106052,TAX1BP1
12090,ENSG00000106066,CPVL
12150,ENSG00000122545,SEPT7
12159,ENSG00000136250,AOAH
12186,ENSG00000168303,MPLKIP
12199,ENSG00000106588,PSMA2
12200,ENSG00000106591,MRPL32
12204,ENSG00000164543,STK17A
12206,ENSG00000106605,BLVRA
12214,ENSG00000136279,DBNL
12226,ENSG00000158604,TMED4
12231,ENSG00000105968,H2AFV
12235,ENSG00000136286,MYO1G
12236,ENSG00000232956,SNHG15
12264,ENSG00000183696,UPP1
12275,ENSG00000185811,IKZF1
12305,ENSG00000146729,GBAS
12308,ENSG00000146731,CCT6A
12342,ENSG00000146757,ZNF92
12361,ENSG00000106609,TMEM248
12362,ENSG00000126524,SBDS
12377,ENSG00000196313,POM121
12386,ENSG00000106635,BCL7B
12391,ENSG00000071462,WBSCR22
12410,ENSG00000158517,NCF1
12420,ENSG00000135213,POM121C
12427,ENSG00000146701,MDH2
12439,ENSG00000127951,FGL2
12445,ENSG00000187257,RSBN1L
12455,ENSG00000135218,CD36
12479,ENSG00000135185,TMEM243
12488,ENSG00000075142,SRI
